deck_name;opponent;win_rate;record;total_games
Grimmsnarl Froslass;Ceruledge;55,29;115 - 93 - 6;214
Grimmsnarl Froslass;Dragapult Dusknoir;53,71;529 - 456 - 19;1004
Grimmsnarl Froslass;Lopunny Dusknoir;53,61;89 - 77 - 1;167
Grimmsnarl Froslass;N's Zoroark;52,57;133 - 120 - 6;259
Grimmsnarl Froslass;Charizard Noctowl;52,33;225 - 205 - 11;441
Grimmsnarl Froslass;Grimmsnarl Froslass;50,0;172 - 172 - 26;370
Grimmsnarl Froslass;Sharpedo Toxtricity;47,62;40 - 44 - 2;86
Grimmsnarl Froslass;Gholdengo Lunatone;47,41;348 - 386 - 22;756
Grimmsnarl Froslass;Tera Box;45,9;56 - 66 - 4;126
Grimmsnarl Froslass;Greninja;43,43;43 - 56 - 1;100
Grimmsnarl Froslass;Flareon Noctowl;43,24;48 - 63 - 2;113
Grimmsnarl Froslass;Mega Absol Box;41,89;124 - 172 - 6;302
Grimmsnarl Froslass;Kangaskhan Bouffalant;41,57;106 - 149 - 3;258
Grimmsnarl Froslass;Raging Bolt Ogerpon;41,06;85 - 122 - 3;210
Grimmsnarl Froslass;Mega Venusaur;37,27;41 - 69 - 4;114
N's Zoroark;Gardevoir Jellicent;63,13;214 - 125 - 11;350
N's Zoroark;Tera Box;55,91;71 - 56 - 2;129
N's Zoroark;Flareon Noctowl;55,41;41 - 33 - 4;78
N's Zoroark;Alakazam Dudunsparce;53,9;145 - 124 - 4;273
N's Zoroark;Mega Absol Box;51,37;131 - 124 - 11;266
N's Zoroark;Dragapult Dusknoir;50,6;379 - 370 - 20;769
N's Zoroark;Charizard Noctowl;50,3;167 - 165 - 10;342
N's Zoroark;N's Zoroark;50,0;143 - 143 - 10;296
N's Zoroark;Gardevoir;49,79;120 - 121 - 8;249
N's Zoroark;Greninja;49,46;46 - 47 - 1;94
N's Zoroark;Kangaskhan Bouffalant;47,97;130 - 141 - 5;276
N's Zoroark;Grimmsnarl Froslass;47,43;120 - 133 - 6;259
N's Zoroark;Lopunny Dusknoir;47,1;73 - 82 - 2;157
N's Zoroark;Charizard Pidgeot;46,86;142 - 161 - 8;311
N's Zoroark;Dragapult Charizard;44,85;61 - 75 - 3;139
N's Zoroark;Ceruledge;41,1;67 - 96 - 3;166
N's Zoroark;Gholdengo Lunatone;40,36;268 - 396 - 20;684
N's Zoroark;Sharpedo Toxtricity;39,77;35 - 53 - 1;89
N's Zoroark;Raging Bolt Ogerpon;36,75;61 - 105 - 5;171
