deck_name;tournaments_seen;total_brought_weighted;top8_count_weighted;top16_count_weighted;top8_conv_rate;top16_conv_rate;avg_winrate_in_top8;last_seen_date;source_format;total_brought;top8_count;top16_count
Flygon;3;1.5;0.0;0.0;0.0;0.0;0.0;2026-08-31;PBL;3;0;0
Dragapult Zoroark;3;1.5;0.0;0.0;0.0;0.0;0.0;2026-08-26;PBL;3;0;0
Mega Zygarde;3;1.5;0.0;0.0;0.0;0.0;0.0;2026-08-23;PBL;3;0;0
Scovillain;3;1.5;0.0;0.0;0.0;0.0;0.0;2026-08-14;PBL;3;0;0
Mega Manectric;1;1.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;1;0;0
Hydrapple;1;1.0;0.0;0.0;0.0;0.0;0.0;2026-09-07;PBL;1;0;0
Dragapult Iron Thorns;1;1.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;1;0;0
Galvantula;1;1.0;0.0;0.0;0.0;0.0;0.0;2026-09-06;PBL;1;0;0
Farigiraf;1;1.0;0.0;0.0;0.0;0.0;0.0;2026-09-04;PBL;1;0;0
Luxray;2;1.0;0.0;0.0;0.0;0.0;0.0;2026-08-31;PBL;2;0;0
Incineroar;2;1.0;0.0;0.0;0.0;0.0;0.0;2026-08-24;PBL;2;0;0
Cinderace;2;1.0;0.0;0.0;0.0;0.0;0.0;2026-08-19;PBL;2;0;0
Rocket's Nidoking;2;1.0;0.0;0.0;0.0;0.0;0.0;2026-08-17;PBL;2;0;0
Mega Diancie;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-31;PBL;1;0;0
Scizor;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-27;PBL;1;0;0
Blissey;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-26;PBL;1;0;0
Okidogi;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-19;PBL;1;0;0
Flareon;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-19;PBL;1;0;0
Slaking;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-13;PBL;1;0;0
Feraligatr;1;0.5;0.0;0.0;0.0;0.0;0.0;2026-08-11;PBL;1;0;0
